,SRR893051,SRR893073,SRR893053,SRR893063,SRR893047,SRR893074,SRR893057,SRR893070,SRR893050,SRR893072,SRR893049,SRR893065,SRR893048,SRR893054,SRR893056,SRR893046,SRR893066,SRR893068,SRR893069,SRR893067,SRR893055,SRR893071,SRR893058,SRR893061,SRR893064,SRR893059,SRR893060,SRR893052,SRR893062
,pronucleus,morula,zygote,8-cell blastomere,oocyte,morula,4-cell blastomere,8-cell blastomere,pronucleus,morula,pronucleus,8-cell blastomere,oocyte,2-cell blastomere,2-cell blastomere,oocyte,8-cell blastomere,8-cell blastomere,8-cell blastomere,8-cell blastomere,2-cell blastomere,8-cell blastomere,4-cell blastomere,8-cell blastomere,8-cell blastomere,4-cell blastomere,4-cell blastomere,zygote,8-cell blastomere
ENSG00000228669,0,0,0,6.69346,0,0,5.80473,0,0,0,0,0,0,0,0,0,0,54.3406,0,68.808,0,99.7505,8.95353,7.20345,0,0,0,0,21.2262
ENSG00000106462,2.24142,23.9289,1.20905,28.7534,3.76628,21.4336,3.49443,15.3892,2.49982,9.60002,1.44164,21.0549,2.02024,2.75292,0,0.820255,7.2291,10.6349,14.2634,10.9281,0,14.6928,1.60159,24.344,15.5855,0,3.74821,4.93351,24.4484
ENSG00000178896,0,10.7175,0,5.93072,0,8.93981,0,0,1.35643,87.1379,0,12.4971,0,0,0,0,0,21.2468,29.0121,29.7546,0,7.85233,0,17.6053,34.8076,0,0,0,5.99857
ENSG00000110492,3.84628,18.2282,0.420791,8.25608,2.02701,11.392,0,14.1977,2.54039,107.876,2.75845,19.0167,6.80739,4.52921,0,2.35766,3.18721,36.3194,6.19611,1.52852,0,11.1648,0,0.98827,0.46852,0,0,0.956147,8.06723
ENSG00000172057,9.25313,1.19354,2.66808,12.5152,3.90303,0.260744,3.68038,18.7468,7.45386,3.75127,8.94886,12.3817,1.21742,8.7736,2.26202,0.762039,27.5646,17.0059,11.7273,31.8337,1.35621,14.8038,4.71152,15.6972,22.5682,0,4.60815,10.4404,13.0514
ENSG00000160691,23.813,0.799827,10.9424,9.74884,0.742881,1.28751,19.2128,14.3038,18.2749,3.55397,22.521,4.34874,0.741178,14.1283,5.58776,0.872056,14.0145,7.75573,11.5175,14.6667,2.07922,8.4352,12.0166,13.3402,2.58284,0,7.68177,19.993,8.17937
ENSG00000223715,41.7841,0,39.8352,0,18.9193,0,7.93923,0,19.5509,0,21.856,2.68977,25.9532,8.63809,19.5147,23.7769,0,0,0,0,13.8892,0,0,8.49099,0,0,3.5344,14.5742,2.33016
ENSG00000228794,25.6502,1.33178,20.2554,2.49126,10.1298,0.774799,6.15584,3.34499,17.2929,1.88914,24.7029,4.34649,11.2034,10.6519,19.853,9.26156,4.66057,7.76083,11.9984,13.2328,17.6798,7.83097,6.86648,6.00584,0.141239,3.30247,14.4406,9.41622,0.802994
ENSG00000146576,31.4531,1.54105,26.2799,0,14.7564,1.43448,5.9751,0,19.4811,4.13371,32.3771,3.47913,12.7102,5.88056,2.19807,7.05331,6.58016,12.7342,10.9472,10.9372,5.14457,2.3301,3.33994,0.98757,18.2164,0,5.48951,23.4513,4.62544
ENSG00000163900,32.0758,3.45826,11.4956,1.89035,2.70908,1.27376,13.7875,22.6463,24.4736,4.24525,25.5376,1.39463,1.14975,11.3339,19.9445,2.37138,19.2462,0.368055,7.33913,10.66,2.85947,2.67142,5.65105,2.75411,13.6502,0,4.68825,16.1011,7.81849
